Team,W,L,SRS,Pace,ORtg,Season,Coach,Coach_ID
sacramento state,11,18,-12.06,66.4,98.1,2021,Brandon Laird,249_Brandon_Laird
sacred heart,10,20,-13.41,69.3,104,2021,Anthony Latina,250_Anthony_Latina
saint francis (pa),9,21,-14.57,68.9,98.4,2021,Rob Krimmel,
saint joseph's,11,19,1,68.5,97.9,2021,Billy Lange,251_Billy_Lange
saint louis,23,12,9.83,69,109.2,2021,Travis Ford,252_Travis_Ford
saint mary's (ca) ,26,8,14.82,65.5,106.5,2021,Randy Bennett,253_Randy_Bennett
saint peter's ,22,12,2.96,66.7,99.7,2021,Shaheen Holloway,254_Shaheen_Holloway
sam houston,19,14,0.07,68.8,99.7,2021,Jason Hooten,255_Jason_Hooten
samford,21,11,-3.01,70.5,105.1,2021,Bucky McMillan,256_Bucky_McMillan
san diego,15,16,-3.32,67.4,96.9,2021,Sam Scholl,258_Sam_Scholl
san diego state ,23,9,13.13,65.3,99,2021,Brian Dutcher,257_Brian_Dutcher
san francisco ,24,10,14.12,70.9,108.7,2021,Todd Golden,259_Todd_Golden
san jose state,8,23,-7.01,66.3,96.5,2021,Tim Miles,260_Tim_Miles
santa clara,21,12,8.98,71.4,107.8,2021,Herb Sendek,261_Herb_Sendek
seattle,23,9,1.96,71.8,103.8,2021,Chris Victor,262_Chris_Victor
seton hall ,21,11,12.75,68.7,104.3,2021,Kevin Willard,263_Kevin_Willard
siena,15,14,-6.4,67.2,97.4,2021,Carmen Maciariello,264_Carmen_Maciariello
south alabama,21,12,0.23,67.5,105.2,2021,Richie Riley,265_Richie_Riley
south carolina,18,13,7.14,72.2,97.9,2021,Frank Martin,266_Frank_Martin
south carolina state,15,16,-13.04,73.7,96.3,2021,Tony Madlock,267_Tony_Madlock
south carolina upstate,15,17,-9.01,69.4,102.1,2021,Dave Dickerson,268_Dave_Dickerson
south dakota,19,12,-4.43,67.5,110.5,2021,Todd Lee,269_Todd_Lee
south dakota state ,30,5,6.6,71.7,119.3,2021,Eric Henderson,270_Eric_Henderson
south florida,8,23,-3.05,65.9,87.2,2021,Brian Gregory,271_Brian_Gregory
southeast missouri state,14,18,-7.19,72.6,103.7,2021,Brad Korn,272_Brad_Korn
southeastern louisiana,19,15,-9.03,73.4,106.9,2021,David Kiefer,246_David_Kiefer
southern,17,14,-5.17,72.1,99.3,2021,Sean Woods,274_Sean_Woods
southern california ,26,8,12.5,67.5,106.5,2021,Andy Enfield,
southern illinois,16,15,2.83,62.9,101.7,2021,Bryan Mullins,273_Bryan_Mullins
siu edwardsville,11,21,-10.37,69.1,96.6,2021,Brian Barone,247_Brian_Barone
southern methodist,24,9,11.14,69.5,105.8,2021,Tim Jankovich,248_Tim_Jankovich
southern mississippi,7,26,-13.58,68.3,93.6,2021,Jay Ladner,275_Jay_Ladner
southern utah,23,12,-1.51,70.8,108.3,2021,Todd Simon,276_Todd_Simon
st. bonaventure,23,10,8.27,66.2,105.2,2021,Mark Schmidt,277_Mark_Schmidt
st. francis  ,10,20,-13.49,68.2,97.7,2021,Rob Krimmel,
st. john's  ,17,15,11.95,74.2,106.4,2021,Mike Anderson Sr,279_Mike_Anderson_Sr
st. thomas,10,20,-11.15,68.2,109.5,2021,John Tauer,280_John_Tauer
stanford,16,16,6.27,66.8,99,2021,Jerod Haase,
stephen f. austin,22,10,2.43,71.9,103.3,2021,Kyle Keller *,282_Kyle_Keller_*
stetson,11,19,-10.34,67.5,101.5,2021,Donnie Jones *,283_Donnie_Jones_*
stony brook,18,13,-6.63,68.6,105.9,2021,Geno Ford,285_Geno_Ford
syracuse,16,17,10.12,68.5,110.9,2021,Jim Boeheim *,286_Jim_Boeheim_*
tarleton state,14,17,-3.18,65.7,97.8,2021,Billy Gillispie,288_Billy_Gillispie
tcu ,21,13,13.72,67.2,101.1,2021,Jamie Dixon,287_Jamie_Dixon
temple,17,12,4.61,67.1,98.6,2021,Aaron McKie,289_Aaron_McKie
tennessee ,27,8,20.46,68.6,106.2,2021,Rick Barnes,292_Rick_Barnes
tennessee state,14,18,-9.34,69.8,101.8,2021,Brian Collins,290_Brian_Collins
tennessee tech,11,21,-7.27,70.6,102.2,2021,John Pelphrey,291_John_Pelphrey
tennessee-martin,8,22,-11.13,70.6,97.6,2021,Ryan Ridder,325_Ryan_Ridder
texas ,22,12,17.01,64.5,105.9,2021,Chris Beard,295_Chris_Beard
texas a&m,27,13,12.93,68.6,104.7,2021,Buzz Williams,293_Buzz_Williams
texas a&m-corpus christi ,23,12,-6.78,72.3,105.5,2021,Steve Lutz,294_Steve_Lutz
texas southern ,19,13,-3.3,69.7,98.6,2021,Johnny Jones,296_Johnny_Jones
texas state,21,8,0.14,65.6,107,2021,Terrence Johnson,297_Terrence_Johnson
texas tech ,27,10,20.08,67.3,106,2021,Mark Adams,298_Mark_Adams
texas-rio grande valley,8,23,-10.18,73.2,97.5,2021,Matt Figger,326_Matt_Figger
the citadel,13,18,-6.8,71,106,2021,Duggar Baucom,299_Duggar_Baucom
toledo,26,8,6.26,70.3,113.7,2021,Tod Kowalczyk,300_Tod_Kowalczyk
towson,25,9,6.47,66.2,109.7,2021,Pat Skerry,301_Pat_Skerry
troy,20,12,-3.56,68.6,99.3,2021,Scott Cross,302_Scott_Cross
tulane,14,15,6.74,69.3,104.1,2021,Ron Hunter,303_Ron_Hunter
tulsa,11,20,1.56,67.3,100.1,2021,Frank Haith *,304_Frank_Haith_*
uab ,27,8,10.9,70.4,112.9,2021,Andy Kennedy,305_Andy_Kennedy
uc davis,13,11,-3.7,67.9,99.4,2021,Jim Les,307_Jim_Les
uc irvine,15,10,1.59,66.1,100.3,2021,Russ Turner,308_Russ_Turner
uc riverside,16,12,-0.92,66.1,99.5,2021,Mike Magpayo,309_Mike_Magpayo
uc san diego,13,16,-7.04,68.5,102,2021,Eric Olen,310_Eric_Olen
uc santa barbara,17,11,1.38,67,107.8,2021,Joe Pasternack,311_Joe_Pasternack
ucf,18,12,6.23,68.1,102.2,2021,Johnny Dawkins Jr,312_Johnny_Dawkins_Jr
ucla ,27,8,19.3,66.5,111.4,2021,Mick Cronin,
unc asheville,17,15,-4.52,68,108.3,2021,Mike Morrell,319_Mike_Morrell
unc greensboro,17,15,-2.47,63.2,101.8,2021,Mike Jones,320_Mike_Jones
unc wilmington,27,9,-0.66,66.7,105.8,2021,Takayo Siddle,321_Takayo_Siddle
ut arlington,11,18,-5.49,66.5,97.6,2021,Greg Young,324_Greg_Young
utah,11,20,5.45,67.2,102.9,2021,Craig Smith,
utah state,18,16,10.41,67.3,107.5,2021,Ryan Odom,329_Ryan_Odom
utah tech,13,18,-8.53,73.9,97.6,2021,Jon Judkins,330_Jon_Judkins
utah valley,20,12,2.37,68.2,102.5,2021,Mark Madsen,332_Mark_Madsen
utep,20,14,0.27,67.9,101.1,2021,Joe Golding,327_Joe_Golding
utsa,10,22,-10.46,70,95.7,2021,Steve Henson,328_Steve_Henson
valparaiso,14,18,-1.61,67.4,101.8,2021,Matt Lottich,335_Matt_Lottich
vanderbilt,19,17,11,68.9,102,2021,Jerry Stackhouse,336_Jerry_Stackhouse
vermont ,28,6,7.81,65.1,114.4,2021,John Becker,337_John_Becker
villanova ,30,8,19.31,63.6,112.4,2021,Jay Wright,338_Jay_Wright
virginia,21,14,8.88,59.9,103.7,2021,Tony Bennett,339_Tony_Bennett
virginia commonwealth,22,10,9.83,68.6,97.4,2021,Mike Rhoades,333_Mike_Rhoades
vmi,16,16,-2.47,69.2,112.9,2021,Dan Earl,334_Dan_Earl
virginia tech ,23,13,14.48,63.6,111,2021,Mike Young,340_Mike_Young
wagner,21,6,-1.12,68.3,107,2021,Bashir Mason,341_Bashir_Mason
wake forest,25,10,13.24,71.2,108.7,2021,Steve Forbes,342_Steve_Forbes
washington,17,15,5.03,70.4,99.1,2021,Mike Hopkins,
washington state,22,15,12.57,67.4,105.6,2021,Kyle Smith,
weber state,21,12,-1.73,71.1,106.8,2021,Randy Rahe,345_Randy_Rahe
west virginia,16,17,10.23,68.5,99.9,2021,Bob Huggins,347_Bob_Huggins
western carolina,11,21,-10.48,69.3,100.8,2021,Justin Gray,348_Justin_Gray
western illinois,16,16,-6.34,72.4,106,2021,Rob Jeter,349_Rob_Jeter
western kentucky,19,13,3.3,71,106.3,2021,Rick Stansbury,350_Rick_Stansbury
western michigan,8,23,-13.51,66.5,97.1,2021,Clayton Bates,351_Clayton_Bates
wichita state,15,13,8.11,67.8,99.6,2021,Isaac Brown,352_Isaac_Brown
william & mary,5,27,-13.91,69.9,90.3,2021,Dane Fischer,353_Dane_Fischer
winthrop,23,9,-1.56,69.3,107.3,2021,Mark Prosser,354_Mark_Prosser
wisconsin ,25,8,13.13,67,104.4,2021,Greg Gard,355_Greg_Gard
wofford,19,13,2.01,65.6,110.2,2021,Jay McAuley,356_Jay_McAuley
wright state ,22,14,-1.94,70,108.3,2021,Scott Nagy,357_Scott_Nagy
wyoming ,25,9,9.36,66.3,107.8,2021,Jeff Linder,358_Jeff_Linder
xavier,23,13,13.23,69.1,105.8,2021,Travis Steele,359_Travis_Steele
yale ,19,12,-0.1,70.3,101.8,2021,James Jones,360_James_Jones
youngstown state,19,15,-6.28,67.6,107.1,2021,Jerrod Calhoun,361_Jerrod_Calhoun
Abilene Christian,16,18,-4.12,71.1,100.3,2023,Brette Tanner,1_Brette_Tanner
Air Force,9,22,-4.77,63.4,103.6,2023,Joe Scott,2_Joe_Scott
Akron ,24,11,2.77,66.9,109.6,2023,John Groce,3_John_Groce
Alabama ,25,12,20.69,73.9,121.1,2023,Nate Oats,5_Nate_Oats
Alabama A&M,12,23,-14.35,71.7,95.8,2023,Otis Hughley Jr.,4_Otis_Hughley_Jr.
Alabama State,13,19,-11.73,69.7,97,2023,Tony Madlock,267_Tony_Madlock
Albany ,13,19,-6.6,74.6,105.1,2023,Dwayne Killings,306_Dwayne_Killings
Alcorn State,14,18,-11.58,68.3,104.8,2023,Landon Bussie,7_Landon_Bussie
American,16,16,-8.96,63.1,108.1,2023,Duane Simpkins,
Appalachian State,27,7,6.04,69.3,110.7,2023,Dustin Kerns,9_Dustin_Kerns
Arizona ,27,9,24.54,73.3,116.8,2023,Tommy Lloyd,11_Tommy_Lloyd
Arizona State,14,18,4.58,70.6,97.5,2023,Bobby Hurley,10_Bobby_Hurley
Arkansas,16,17,6.12,72.2,106.1,2023,Eric Musselman,12_Eric_Musselman
Arkansas State,20,17,0.28,70,112.3,2023,Bryan Hodgson,
Arkansas-Pine Bluff,13,18,-15.56,74.3,107.8,2023,Solomon Bozeman,14_Solomon_Bozeman
Army,10,22,-14.67,63.1,94.5,2023,Kevin Kuwik,
Auburn ,27,8,22.46,70.9,117.2,2023,Bruce Pearl,16_Bruce_Pearl
Austin Peay,19,16,-6.13,65.9,111.6,2023,Corey Gipson,211_Corey_Gipson
Ball State,15,16,-6.68,67.8,107.2,2023,Michael Lewis,19_Michael_Lewis
Baylor ,24,11,19.5,66.8,117.8,2023,Scott Drew,20_Scott_Drew
Bellarmine,8,23,-11.79,66.8,103.1,2023,Scott Davenport,21_Scott_Davenport
Belmont,20,13,2.79,72,107.7,2023,Casey Alexander,22_Casey_Alexander
Bethune-Cookman,17,17,-11.87,71.8,100.4,2023,Reggie Theus,23_Reggie_Theus
Binghamton,15,15,-9.29,68.6,104.3,2023,Levell Sanders,24_Levell_Sanders
Boise State ,22,11,13.31,66.9,111.4,2023,Leon Rice,25_Leon_Rice
Boston College,20,16,9.48,67.7,108.7,2023,Earl Grant,26_Earl_Grant
Boston University,16,17,-9.93,65.9,99.7,2023,Joe Jones,27_Joe_Jones
Bowling Green State,20,14,-4.93,69.1,104.6,2023,Todd Simon,276_Todd_Simon
Bradley,23,12,9.48,66.9,109.5,2023,Brian Wardle,29_Brian_Wardle
Brigham Young ,23,11,19.33,69.9,116.4,2023,Mark Pope,18_Mark_Pope
Brown,13,18,-3.6,67.8,103.6,2023,Mike Martin,30_Mike_Martin
Bryant,20,13,-3.06,76,102.9,2023,Phil Martelli Jr.,
Bucknell,14,19,-8.33,64.1,100.6,2023,John Griffin III,
Buffalo,4,27,-15.12,70.5,96.1,2023,George Halcovage III,
Butler,18,15,12.18,69.4,108.6,2023,Thad Matta,34_Thad_Matta
Cal Poly,4,28,-13.64,66.7,94.3,2023,John Smith,35_John_Smith
Cal State Bakersfield,13,19,-5.37,66.3,102.4,2023,Rod Barnes,36_Rod_Barnes
Cal State Fullerton,14,18,-5.15,67.5,100.2,2023,Dedrique Taylor,37_Dedrique_Taylor
Cal State Northridge,19,15,-4.78,73.5,101.7,2023,Andy Newman,
California,13,19,4.94,69.7,103.7,2023,Mark Madsen,332_Mark_Madsen
California Baptist,16,17,-2.32,65.7,101.7,2023,Rick Croy,39_Rick_Croy
Campbell,14,18,-10.62,67,104.8,2023,Kevin McGeehan,41_Kevin_McGeehan
Canisius,14,18,-7.95,68.5,101.9,2023,Reggie Witherspoon,42_Reggie_Witherspoon
Central Arkansas,9,23,-15.7,70.7,101.7,2023,Anthony Boone,43_Anthony_Boone
Central Connecticut State,20,11,-8.15,68,105.2,2023,Patrick Sellers,44_Patrick_Sellers
Central Michigan,18,14,-8.07,66.3,97.6,2023,Tony Barbee,45_Tony_Barbee
Charleston Southern,10,20,-12.03,68.3,99,2023,Barclay Radebaugh *,47_Barclay_Radebaugh_*
Charlotte,19,12,4.09,63.1,108.1,2023,Aaron Fearne,48_Aaron_Fearne
Chattanooga,21,12,-0.21,68.5,112.9,2023,Dan Earl,334_Dan_Earl
Chicago State,13,19,-9.34,67.6,102.4,2023,Gerald Gillion,50_Gerald_Gillion
Cincinnati,22,15,15.06,68.4,107.8,2023,Wes Miller,51_Wes_Miller
Clemson ,24,12,16.2,67.8,113.4,2023,Brad Brownell,52_Brad_Brownell
Cleveland State,21,15,-3.47,68.6,109.2,2023,Daniyal Robinson,53_Daniyal_Robinson
Coastal Carolina,9,22,-10.47,71.5,102,2023,Benny Moss,
Colgate ,25,10,-0.31,66.4,107.5,2023,Matt Langel,55_Matt_Langel
College of Charleston ,27,8,4.09,70.4,114.6,2023,Pat Kelsey,46_Pat_Kelsey
Colorado ,26,11,15.95,69,113.8,2023,Tad Boyle,56_Tad_Boyle
Colorado State ,25,11,13.4,66.7,111.9,2023,Niko Medved,57_Niko_Medved
Columbia,13,14,-5.43,70,110,2023,Jim Engles,58_Jim_Engles
Connecticut ,37,3,26.7,66,123.3,2023,Dan Hurley,314_Dan_Hurley
Coppin State,2,27,-21.46,67.4,85.1,2023,Larry Stewart,
Cornell,22,8,3.58,71.9,114.2,2023,Brian Earl,60_Brian_Earl
Creighton ,25,10,20.07,67.6,116.2,2023,Greg McDermott,61_Greg_McDermott
Dartmouth,6,21,-13.99,66.3,93.3,2023,David McLaughlin,62_David_McLaughlin
Davidson,15,17,3.63,65.9,104.7,2023,Matt McKillop,63_Matt_McKillop
Dayton ,25,8,13.45,64.8,114.1,2023,Anthony Grant,64_Anthony_Grant
Delaware,19,14,-1.68,67.7,107.8,2023,Martin Ingelsby,66_Martin_Ingelsby
Delaware State,15,19,-10.51,70.2,98.7,2023,Stan Waterman,67_Stan_Waterman
Denver,17,17,-7.39,71.1,111.9,2023,Jeff Wulbrun,68_Jeff_Wulbrun
DePaul,3,29,-6.23,68.4,94.7,2023,Tony Stubblefield,65_Tony_Stubblefield
Detroit Mercy,1,31,-16.9,68,96.2,2023,Mike Davis,69_Mike_Davis
Drake ,28,7,11.08,68.4,113.9,2023,Darian DeVries,70_Darian_DeVries
Drexel,20,12,1.14,65.7,110.4,2023,Zach Spiker,71_Zach_Spiker
Duke ,27,9,20.67,67.1,117.1,2023,Jon Scheyer,72_Jon_Scheyer
Duquesne ,25,12,7.35,66.9,105.5,2023,Keith Dambrot,73_Keith_Dambrot
East Carolina,15,18,-0.62,65.8,104.5,2023,Michael Schwartz,74_Michael_Schwartz
East Tennessee State,19,16,-3.11,68.8,103.5,2023,Brooks Savage,
East Texas A&M,13,20,-14.52,68.7,100.8,2023,Jaret von Rosenberg,76_Jaret_von_Rosenberg
Eastern Illinois,14,18,-11.6,68.2,101,2023,Marty Simmons,77_Marty_Simmons
Eastern Kentucky,17,14,-5.42,71.8,112,2023,A.W. Hamilton,78_A.W._Hamilton
Eastern Michigan,13,18,-12.76,66.4,98.3,2023,Stan Heath,79_Stan_Heath
Eastern Washington,21,11,-1.03,70.9,113.6,2023,David Riley,80_David_Riley
Elon,13,19,-11.43,68,107.5,2023,Billy Taylor,81_Billy_Taylor
Evansville,17,18,-3.69,69.6,101.1,2023,David Ragland,82_David_Ragland
Fairfield,24,13,-3.17,68.9,109.6,2023,Chris Casey,
FDU,15,17,-14.41,73.6,102.4,2023,Jack Castleberry,
Florida ,24,12,15.17,73.1,115.1,2023,Todd Golden,259_Todd_Golden
Florida A&M,6,23,-15.82,69.9,94.5,2023,Robert McCullum,85_Robert_McCullum
Florida Atlantic ,25,9,13.26,69.1,116.2,2023,Dusty May,86_Dusty_May
Florida Gulf Coast,14,18,-6.28,65.6,106.9,2023,Patrick Chambers,88_Patrick_Chambers
Florida International,11,22,-8.01,72.1,101.8,2023,Jeremy Ballard,89_Jeremy_Ballard
Florida State,17,16,9.52,72.2,105.7,2023,Leonard Hamilton *,90_Leonard_Hamilton_*
Fordham,13,20,-0.46,69.3,99.8,2023,Keith Urgo *,91_Keith_Urgo
Fresno State,12,21,-3.29,66,101,2023,Justin Hutson,92_Justin_Hutson
Furman,17,16,0.21,71.2,109.9,2023,Bob Richey,93_Bob_Richey
Gardner-Webb,17,16,-4.66,70.2,103.5,2023,Tim Craft,94_Tim_Craft
George Mason,20,12,6.36,65,109.2,2023,Tony Skinn,
George Washington,15,17,-1.03,70.4,106.2,2023,Chris Caputo,96_Chris_Caputo
Georgetown,9,23,0.68,67.4,104.3,2023,Ed Cooley,235_Ed_Cooley
Georgia,20,17,8.63,70.6,105.4,2023,Michael White,87_Michael_White
Georgia Southern,9,24,-8.44,70.1,103.5,2023,Charlie Henry,
Georgia State,14,17,-4.59,70.6,107.4,2023,Jonas Hayes,100_Jonas_Hayes
Georgia Tech,14,18,4.6,68.2,102.5,2023,Damon Stoudamire,
Gonzaga ,27,8,17.93,69.8,121.1,2023,Mark Few,102_Mark_Few
Grambling ,21,15,-9.63,66.9,100.1,2023,Donte Jackson,103_Donte_Jackson
Grand Canyon ,30,5,10.45,69.8,112.9,2023,Bryce Drew,104_Bryce_Drew
Green Bay,18,14,-5.64,64.6,106,2023,Sundance Wicks,
Hampton,9,24,-15.82,70.8,101.4,2023,Edward Joyner Jr,106_Edward_Joyner_Jr
Harvard,14,13,-4.58,67.8,102.9,2023,Tommy Amaker,107_Tommy_Amaker
Hawaii,20,14,-0.07,67.4,106.1,2023,Eran Ganot,108_Eran_Ganot
High Point,27,9,2.15,69.3,119.4,2023,Alan Huss,
Hofstra,20,13,2.31,66.6,111,2023,Speedy Claxton,110_Speedy_Claxton
Holy Cross,10,23,-17.12,65.4,101.2,2023,Dave Paulsen,
Houston ,32,5,25.69,64.1,113.6,2023,Kelvin Sampson,113_Kelvin_Sampson
Houston Christian,6,23,-19.37,73.4,97,2023,Ron Cottrell,112_Ron_Cottrell
Howard ,18,17,-8.69,69.4,106.5,2023,Kenneth Blakeney,114_Kenneth_Blakeney
Idaho,11,21,-11.29,65.9,102.6,2023,Alex Pribble,
Idaho State,14,20,-7.49,64.9,106.7,2023,Ryan Looney,116_Ryan_Looney
Illinois ,29,9,19.56,70.1,118.2,2023,Brad Underwood *,118_Brad_Underwood_*
Illinois State,15,17,-1.38,65.3,101.9,2023,Ryan Pedon,119_Ryan_Pedon
Illinois-Chicago,12,21,-1.61,68.7,100.4,2023,Luke Yaklich,
Incarnate Word,8,23,-16.4,71.9,99.6,2023,Shane Heirman,
Indiana,19,14,7.74,69.4,104.2,2023,Mike Woodson,121_Mike_Woodson
Indiana State,32,7,13.44,71.4,118.4,2023,Josh Schertz,122_Josh_Schertz
Iona,16,17,-5.19,68,104.9,2023,Tobin Anderson,84_Tobin_Anderson
Iowa,19,15,13,72.6,114,2023,Fran McCaffery,124_Fran_McCaffery
Iowa State ,29,8,22.3,67.9,110.9,2023,T.J. Otzelberger,125_T.J._Otzelberger
IU Indy,6,26,-21.31,68.8,95.3,2023,Matt Crenshaw,115_Matt_Crenshaw
Jackson State,15,17,-11.5,70,101.4,2023,Mo Williams,6_Mo_Williams
Jacksonville,16,17,-9.84,68.6,104.4,2023,Jordan Mincy,127_Jordan_Mincy
Jacksonville State,14,18,-3.55,67.1,104,2023,Ray Harper,128_Ray_Harper
James Madison ,32,4,8.19,71.6,115,2023,Mark Byington,129_Mark_Byington
Kansas ,23,11,16.35,69.9,107.7,2023,Bill Self,131_Bill_Self
Kansas City,16,16,-5.32,67.3,105.2,2023,Marvin Menzies,130_Marvin_Menzies
Kansas State,19,15,11.06,68.4,102.8,2023,Jerome Tang,132_Jerome_Tang
Kennesaw State,15,16,-8.02,75.4,109,2023,Antoine Pettway,
Kent State,17,17,-0.76,67.7,108.5,2023,Rob Senderoff,134_Rob_Senderoff
Kentucky ,23,10,16.79,73.9,119.2,2023,John Calipari *,135_John_Calipari_*
La Salle,16,17,-1.62,67.3,106.4,2023,Fran Dunphy,137_Fran_Dunphy
Lafayette,11,21,-11.17,65.3,94.7,2023,Mike McGarvey,138_Mike_Jordan
Lamar,19,14,-5.47,70.5,108.7,2023,Alvin Brooks,139_Alvin_Brooks
Le Moyne,15,17,-11.07,69.2,104.3,2023,Nate Champion,
Lehigh,14,18,-7.47,69.9,101.6,2023,Brett Reed,141_Brett_Reed
Liberty,18,14,1.58,66,111,2023,Ritchie McKay,142_Ritchie_McKay
Lindenwood,9,22,-18.73,68.1,95.3,2023,Kyle Gerdeman,366_Kyle_Gerdeman
Lipscomb,20,12,-1.94,71.2,115.3,2023,Lennie Acuff,143_Lennie_Acuff
Little Rock,21,13,-3.42,69.9,109.8,2023,Darrell Walker,144_Darrell_Walker
Long Beach State ,21,15,-1.19,72.9,105.4,2023,Dan Monson,145_Dan_Monson
Long Island University,7,22,-17.86,71.3,92.5,2023,Rod Strickland,146_Rod_Strickland
Longwood ,21,14,-2.04,67.9,108.5,2023,Griff Aldrich,147_Griff_Aldrich
Louisiana,19,14,-0.6,70.4,107.8,2023,Bob Marlin,148_Bob_Marlin
Louisiana State,17,16,8.14,70.7,107.5,2023,Matt McMahon,184_Matt_McMahon
Louisiana Tech,22,10,4.83,67.5,109.9,2023,Talvin Hester,149_Talvin_Hester
Louisiana-Monroe,11,19,-10.05,69.1,100.7,2023,Keith Richard,316_Keith_Richard
Louisville,8,24,0.45,70.4,101.8,2023,Kenny Payne,150_Kenny_Payne
Loyola (IL),23,10,6.57,69.3,104.7,2023,Drew Valentine,151_Drew_Valentine
Loyola (MD),7,25,-16.17,65.7,96.4,2023,Tavaras Hardy,152_Tavaras_Hardy
Loyola Marymount,12,19,-0.06,66.4,109,2023,Stan Johnson,153_Stan_Johnson
Maine,15,17,-6.39,68.1,98.6,2023,Chris Markwood,154_Chris_Markwood
Manhattan,7,23,-15.28,69.2,94.4,2023,John Gallagher,
Marist,18,13,-5.64,65.5,98.6,2023,John Dunne,156_John_Dunne
Marquette ,27,10,19.27,69.4,112,2023,Shaka Smart,157_Shaka_Smart
Marshall,13,20,-5.42,72.5,101.7,2023,Dan D'Antoni II,158_Dan_D'Antoni_II
Maryland,16,17,10.6,66.3,103,2023,Kevin Willard,263_Kevin_Willard
Maryland-Baltimore County,11,21,-8.67,74.7,104.8,2023,Jim Ferry,317_Jim_Ferry
Maryland-Eastern Shore,9,20,-17.33,68.3,94.2,2023,Jason Crafton,
Massachusetts,20,11,7.59,69.2,111.5,2023,Frank Martin,266_Frank_Martin
Massachusetts-Lowell,22,10,-1.28,72.6,109.4,2023,Pat Duquette,318_Pat_Duquette
McNeese State ,30,4,6.42,67.6,118.3,2023,Will Wade,162_Will_Wade
Memphis,22,10,9,72,110.9,2023,Anfernee Hardaway,163_Anfernee_Hardaway
Mercer,16,17,-4.65,67.5,105.4,2023,Greg Gary,164_Greg_Gary
Merrimack,21,12,-5.24,68.6,100,2023,Joe Gallo,166_Joe_Gallo
Miami (FL),15,17,9.59,69.9,107.9,2023,Jim Larranaga,168_Jim_Larranaga
Miami (OH),15,17,-6.45,68.5,102.6,2023,Travis Steele,359_Travis_Steele
Michigan,8,24,5.28,68.9,104.6,2023,Juwan Howard,170_Juwan_Howard
Michigan State ,20,15,17.72,66.4,109.4,2023,Tom Izzo,169_Tom_Izzo
Middle Tennessee,14,19,-7.45,66.8,96.5,2023,Nick McDevitt,171_Nick_McDevitt
Milwaukee,20,15,-5.01,70.9,110.2,2023,Bart Lundy,172_Bart_Lundy
Minnesota,19,15,9.51,67.7,110.3,2023,Ben Johnson,173_Ben_Johnson
Mississippi,20,12,8.3,68.6,109.3,2023,Chris Beard,295_Chris_Beard
Mississippi State ,21,14,14.19,68.7,107.5,2023,Chris Jans,192_Chris_Jans
Mississippi Valley State,1,30,-26.17,66.2,83.4,2023,George Ivory,175_George_Ivory
Missouri,8,24,3.27,68.4,105,2023,Dennis Gates,53_Dennis_Gates
Missouri State,17,16,0.98,68.4,102.6,2023,Dana Ford,176_Dana_Ford
Monmouth,18,15,-3.17,68.1,106.4,2023,King Rice,178_King_Rice
Montana,24,12,-1.41,67.2,113.6,2023,Travis DeCuire,179_Travis_DeCuire
Montana State ,17,18,-5.34,69.7,106.4,2023,Matt Logie,
Morehead State ,26,9,0.51,66.2,113.7,2023,Preston Spradlin,181_Preston_Spradlin
Morgan State,11,20,-16.07,71.7,100.6,2023,Kevin Broadus,182_Kevin_Broadus
Mount St. Mary's,13,19,-6.54,69.3,103.7,2023,Dan Engelstad,183_Dan_Engelstad
Murray State,12,20,0.36,65.5,106.1,2023,Steve Prohm,184_Steve_Prohm
Navy,13,18,-11.7,65.4,100.8,2023,Ed DeChellis,187_Ed_DeChellis
NC State ,26,15,12.81,68.5,109.1,2023,Kevin Keatts,185_Kevin_Keatts
Nebraska ,23,11,14.36,69.4,110.8,2023,Fred Hoiberg,188_Fred_Hoiberg
Nevada ,26,8,12.85,66.9,113,2023,Steve Alford,189_Steve_Alford
Nevada-Las Vegas,21,13,8.38,66.2,109.5,2023,Kevin Kruger,322_Kevin_Kruger
New Hampshire,16,15,-6.15,73.3,100.7,2023,Nathan Davis,32_Nathan_Davis
New Mexico ,26,10,15.04,72.5,111.7,2023,Richard Pitino,191_Richard_Pitino
New Mexico State,13,19,-8.62,68.6,97.5,2023,Jason Hooten,255_Jason_Hooten
New Orleans,10,23,-16.8,73.2,100.1,2023,Mark Slessinger,193_Mark_Slessinger
Niagara,16,16,-8.4,67.9,105.5,2023,Greg Paulus,194_Greg_Paulus
Nicholls State,20,14,-7.14,67.8,105.5,2023,Tevon Saddler,
NJIT,7,21,-14.65,68.6,99,2023,Grant Billmeier,
Norfolk State,24,11,-5.76,68.3,108.7,2023,Robert Jones,196_Robert_Jones
North Alabama,15,17,-7.17,68.9,109.2,2023,Tony Pujol,197_Tony_Pujol
North Carolina ,29,8,21.36,71.3,114.6,2023,Hubert Davis,200_Hubert_Davis
North Carolina A&T,7,25,-16.31,68,96.4,2023,Monte Ross,
North Carolina Central,18,13,-7.88,69.2,109.9,2023,LeVelle Moton,199_LeVelle_Moton
North Dakota,18,14,-6.24,67.9,110.4,2023,Paul Sather,201_Paul_Sather
North Dakota State,15,17,-7.57,66.6,109.1,2023,David Richman,202_David_Richman
North Florida,16,16,-6.95,69.4,111.1,2023,Matthew Driscoll,203_Matthew_Driscoll
North Texas,19,15,8.41,63.2,108.7,2023,Ross Hodge,
Northeastern,12,20,-6.09,65.8,105.5,2023,Bill Coen,205_Bill_Coen
